ID,Level 1,Level 2 ,Level 3,Clarification information
290000,Arts & Leisure Services,,,Products / services
291000,Arts & Leisure Services,Events,,Products / services
291100,Arts & Leisure Services,Museums & Art,,Services
291120,Arts & Leisure Services,Organised Activities,,Adult & children services
291200,Arts & Leisure Services,Outsourced Service,,Services
291300,Arts & Leisure Services,Performing Arts,,Services
291110,Arts & Leisure Services,Professional Musical Instruments,,Products & maintenance
291400,Arts & Leisure Services,Sport & Fitness,,Services
299999,Arts & Leisure Services,Not Elsewhere Classified,,Products / services
100000,Building Construction Materials,,,Products or supply & fit
101000,Building Construction Materials,Bathrooms,,Products or supply & fit
101100,Building Construction Materials,Electrical,,Products or supply & fit
101200,Building Construction Materials,Fencing,,Products or supply & fit
101300,Building Construction Materials,Floor Coverings,,Products or supply & fit
101400,Building Construction Materials,General Materials,,Products or supply & fit
101500,Building Construction Materials,Glazing / Doors,,Products or supply & fit
101600,Building Construction Materials,Hand Tools,,"Products, includes power tools"
101610,Building Construction Materials,Hand Tools,Direct Purchase,"Products, includes power tools"
101611,Building Construction Materials,Hand Tools,Hire,"Products, includes power tools"
101699,Building Construction Materials,Hand Tools,Not Elsewhere Classified,"Products, includes power tools"
101700,Building Construction Materials,Heating & Air Conditioning,,Products or supply & fit
102600,Building Construction Materials,Insulation,,Products or supply & fit
101800,Building Construction Materials,Kitchens,,Products or supply & fit
101900,Building Construction Materials,Lighting,,Products or supply & fit
102000,Building Construction Materials,Machine Tools,,Products
102100,Building Construction Materials,Paint & Finishing,,Products or supply & fit
102200,Building Construction Materials,Plumbing,,Products or supply & fit
102300,Building Construction Materials,Roofing,,Products or supply & fit
102400,Building Construction Materials,Signage,,Products or supply & fit
102500,Building Construction Materials,Timber,,Products or supply & fit
109999,Building Construction Materials,Not Elsewhere Classified,,Products or supply & fit
110000,Catering,,,Products / services
111000,Catering,Banquet & Catering,,Products
111310,Catering,Corporate Services,,"Service, includes council run cafes, etc."
111100,Catering,Equipment & Utensils,,Products or supply & fit
111120,Catering,Equipment & Utensils,Disposables,Products
111110,Catering,Equipment & Utensils,Repair & Maintenance,Services
111199,Catering,Equipment & Utensils,Not Elsewhere Classified,Products
111200,Catering,Food & Beverages,,Products
111210,Catering,Food & Beverages,School Milk,Products
111299,Catering,Food & Beverages,Not Elsewhere Classified,Products
111220,Catering,School Meals Service,,Services
111230,Catering,Social Care,,Products / services
111240,Catering,Social Care,Home Shopping Service,Products / services
111250,Catering,Social Care,Meals On Wheels,Services
111599,Catering,Social Care,Not Elsewhere Classified,Products / services
111311,Catering,Takeaway Service,,Services
111400,Catering,Vending Machines & Dispensers,,Products or supply & fit
119999,Catering,Not Elsewhere Classified,,Products / services
120000,Cemetery & Crematorium,,,Products / services
121300,Cemetery & Crematorium,Body Transport Service,,Services
121000,Cemetery & Crematorium,Burial & Cremation,,Services
121100,Cemetery & Crematorium,Equipment,,Products or supply & fit
121200,Cemetery & Crematorium,Repair & Maintenance,,Services
129999,Cemetery & Crematorium,Not Elsewhere Classified,,Products / services
130000,Cleaning & Janitorial,,,Products / services
131000,Cleaning & Janitorial,Cleaning Materials,,Products
131010,Cleaning & Janitorial,Cleaning Materials,Chemical,"Products, includes soap, sprays, polish, disinfectant, etc."
131011,Cleaning & Janitorial,Cleaning Materials,Janitorial,"Products, include mops, buckets, brushes, etc."
131099,Cleaning & Janitorial,Cleaning Materials,Not Elsewhere Classified,Products
131310,Cleaning & Janitorial,Cleaning Service,,Services
131320,Cleaning & Janitorial,Cleaning Service,External,"Service, including window cleaning"
131330,Cleaning & Janitorial,Cleaning Service,Internal,Services
131340,Cleaning & Janitorial,Cleaning Service,Specialist,"Service, includes deep clean, etc."
131399,Cleaning & Janitorial,Cleaning Service,Not Elsewhere Classified,Services
131100,Cleaning & Janitorial,Laundry Equipment,,Products or supply & fit
131200,Cleaning & Janitorial,Laundry Equipment Repair & Maintenance,,Services
131311,Cleaning & Janitorial,Laundry Service,,Services
131312,Cleaning & Janitorial,Washroom Sanitation Service,,Services
139999,Cleaning & Janitorial,Not Elsewhere Classified,,Products / services
140000,Clothing,,,Products
141000,Clothing,Childrens & Adults,,Products
141200,Clothing,Footwear,,"Products, includes safety footwear"
141100,Clothing,Protective,,"Products, includes personal protective equipment"
141400,Clothing,Protective,Body Armour,Products
141110,Clothing,Protective,Coveralls & Suits,Boiler suits etc.
141111,Clothing,Protective,Disposable Clothing,Products
141199,Clothing,Protective,Not Elsewhere Classified,Products
141300,Clothing,Uniforms,,Products
141310,Clothing,Uniforms,"Dresses, Skirts & Trousers",Including shorts
141311,Clothing,Uniforms,Fleeces & Jumpers,"Including cardigans, hooded tops etc."
141312,Clothing,Uniforms,Footwear,"Products, includes safety footwear"
141313,Clothing,Uniforms,Outerwear,"Jackets, coats, waterproof clothing etc."
141314,Clothing,Uniforms,Shirts,Including blouses & t-shirts
141499,Clothing,Uniforms,Not Elsewhere Classified,Products
149999,Clothing,Not Elsewhere Classified,,Products
150000,Consultancy,,,Services
151000,Consultancy,Business,,Services
151200,Consultancy,Efficiency,,"Services, not Management"
151900,Consultancy,Management,,Services
151910,Consultancy,Management,Efficiency,Services
151911,Consultancy,Management,Organisation & Planning,Services
151912,Consultancy,Management,Personnel,Services
151999,Consultancy,Management,Not Elsewhere Classified,Services
152000,Consultancy,Procurement,,Services
152050,Consultancy,Property,,Services
152100,Consultancy,Strategic Planning,,Services
152200,Consultancy,Technical & Feasibility,,Services
159999,Consultancy,Not Elsewhere Classified,,Services
160000,Domestic Goods,,,Products
161000,Domestic Goods,Commercial,,"Products, includes white goods"
161100,Domestic Goods,Industrial,,Products
